Column_name,Details,Low,Meaning,High,Meaning,Topic
country,country of the party,Not applicable,Not applicable,Not applicable,Not applicable,General
eastwest,east west origin,Not applicable,Not applicable,Not applicable,Not applicable,General
party,party name,Not applicable,Not applicable,Not applicable,Not applicable,General
party_id,unique identifier - closely related to the country ,Not applicable,Not applicable,Not applicable,Not applicable,General
eu_position,"overall orientation of the party leadership towards European integration in
2019.",1,Strongly opposes,7,Strongly favors,EU_INTEGRATION
eu_position_sd,"standard deviation of expert placement of overall orientation of the party
leadership towards European integration in 2019.",,,,,EU_INTEGRATION
eu_salience,relative salience of European integration in the party’s public stance in 2019.,0,European Integration is of no importance.,10,European Integration is of great importance.,EU_INTEGRATION
eu_dissent,degree of dissent on European integration in 2019.,0,Party was completely united.,10,Party was extremely divided.,EU_INTEGRATION
eu_blur,how blurry was each party’s position on on European integration in 2019.,0,Not at all blurred.,10,Extremely blurred.,EU_INTEGRATION
eu_cohesion,"position of the party leadership in 2019 on EU cohesion or regional policy
(e.g. the structural funds).",1,Strongly opposes,7,Strongly favors,SPECIFIC_EU_POLICY
eu_foreign,position of the party leadership in 2019 on EU foreign and security policy,1,Strongly opposes,7,Strongly favors,SPECIFIC_EU_POLICY
eu_intmark,"position of the party leadership in 2019 on the internal market (i.e. free
movement of goods, services, capital and labor).",1,Strongly opposes,7,Strongly favors,SPECIFIC_EU_POLICY
eu_budgets,"position of the party leadership in 2019 on EU authority over economic and
budgetary policy.",1,Strongly opposes,7,Strongly favors,SPECIFIC_EU_POLICY
eu_asylum,position of the party leadership in 2019 on EU authority over asylum policy,1,Strongly opposes,7,Strongly favors,SPECIFIC_EU_POLICY
lrgen,position of the party in 2019 in terms of its overall ideological stance.,0,Extreme left,10,Extreme right,IDEOLOGICAL_QUESTIONS
lrecon,"position of the party in 2019 in terms of its ideological stance on economic issues.
Parties can be classified in terms of their stance on economic issues such as privatization, taxes,
regulation, government spending, and the welfare state. Parties on the economic left want government to play an active role in the economy. Parties on the economic right want a reduced role for
government.",0,Extreme left,10,Extreme right,IDEOLOGICAL_QUESTIONS
lrecon_sd,,,,,,IDEOLOGICAL_QUESTIONS
lrecon_salience,"relative salience of economic issues in the party’s public stance in
2019.",0,No importance,10,Extremely important,IDEOLOGICAL_QUESTIONS
lrecon_dissent,degree of dissent on economic issues in 2019.,0,Party was completely united.,10,Party was extremely divided.,IDEOLOGICAL_QUESTIONS
lrecon_blur,how blurry was each party’s position on economic issues in 2019.,0,Not at all blurred.,10,Extremely blurred.,IDEOLOGICAL_QUESTIONS
galtan,"position of the party in 2019 in terms of their views on social and cultural values.
“Libertarian” or “postmaterialist” parties favor expanded personal freedoms, for example, abortion
rights, divorce, and same-sex marriage. “Traditional” or “authoritarian” parties reject these ideas
in favor of order, tradition, and stability, believing that the government should be a firm moral
authority on social and cultural issues.",0,Libertarian/Postmaterialist,10,Traditional/Authoritarian,IDEOLOGICAL_QUESTIONS
galtan_sd,"standard deviation of expert placement of the party in 2019 in terms of their
views on democratic freedoms and rights.",,,,,IDEOLOGICAL_QUESTIONS
galtan_salience,"relative salience of libertarian/traditional issues in the party’s public
stance in 2019.",0,No importance,10,Extremely important,IDEOLOGICAL_QUESTIONS
galtan_dissent,degree of dissent on libertarian/traditional issues in 2019.,0,Party was completely united.,10,Party was extremely divided.,IDEOLOGICAL_QUESTIONS
galtan_blur,"how blurry was each party’s position on libertarian/traditional issues in
2019.",0,Not at all blurred.,10,Extremely blurred.,IDEOLOGICAL_QUESTIONS
immigrate_policy,position on immigration policy.,0,Strongly favors a liberal policy on immigration,10,Strongly favors a restrictive policy on immigration,POLICY_DIMENSIONS
